	(1)	(2)	(3)	(4)	(5)	(6)
	M2_FE_BELOW	M2_FE_TE_BELOW	M2_FE_ABOVE	M2_FE_TE_ABOVE	M2_PTR	M2_TE_PTR
VARIABLES	gdpgpc	gdpgpc	gdpgpc	gdpgpc	gdpgpc	gdpgpc
						
m2gdp	0.0391**	0.0403**	-0.0464*	-0.0278		
	(0.0151)	(0.0169)	(0.0278)	(0.0370)		
inv	0.0252**	0.0111	0.1768***	0.1299***	0.0547***	0.0332**
	(0.0126)	(0.0154)	(0.0405)	(0.0429)	(0.0136)	(0.0137)
gov	0.0234	0.0442	-0.0652	-0.0369	0.0028	0.0135
	(0.0287)	(0.0319)	(0.0731)	(0.0638)	(0.0299)	(0.0280)
tot	0.0072	-0.0012	-0.0066	-0.0019	0.0007	0.0010
	(0.0064)	(0.0087)	(0.0385)	(0.0388)	(0.0071)	(0.0074)
open	-0.0264**	-0.0318**	-0.0028	-0.0064	0.0007	-0.0017
	(0.0125)	(0.0154)	(0.0106)	(0.0126)	(0.0080)	(0.0088)
inflation	-0.1491***	-0.1914***	-0.0816	-0.0746	-0.1058***	-0.1394***
	(0.0405)	(0.0457)	(0.1313)	(0.1580)	(0.0401)	(0.0397)
time_1993		-1.3506		2.6127		4.3246***
		(1.3566)		(1.9714)		(1.4044)
time_1994		0.3728		2.2665		5.4593***
		(1.3114)		(2.0930)		(1.3669)
time_1995		0.8981		2.2278		5.6088***
		(1.3262)		(2.1380)		(1.3790)
time_1996		-0.1668		2.2637		4.3515***
		(1.3564)		(1.9037)		(1.3971)
time_1997		-3.5340		1.0921		2.5800
		(2.1308)		(2.5209)		(1.7874)
time_1998		-2.0177		-6.4726***		
		(1.6410)		(1.9946)		
time_1999		-0.9350		2.9231*		3.7786***
		(1.4684)		(1.4728)		(1.3923)
time_2000		-0.8248		0.6872		3.8059***
		(1.3199)		(1.9104)		(1.4172)
time_2001		-1.3435		-2.3255		1.2729
		(1.3717)		(1.4250)		(1.3889)
time_2002		-0.8367		2.0604		3.3429**
		(1.4342)		(1.4659)		(1.4031)
time_2003		-0.3969		3.1174**		4.5645***
		(1.3693)		(1.4999)		(1.3905)
time_2004		0.5646		1.8351		4.5011***
		(1.3512)		(1.7746)		(1.4243)
time_2005		0.1979		0.1613		3.7121**
		(1.3914)		(1.8949)		(1.4424)
time_2006		0.7668		1.2909		4.4652***
		(1.4236)		(1.8023)		(1.4643)
time_2007		-0.4251		1.5447		3.6522**
		(1.3830)		(1.8501)		(1.4504)
time_2008		-0.0225		-1.8960		2.3973
		(1.4663)		(1.8502)		(1.4526)
time_2009		-3.2947**		-3.3017**		0.1716
		(1.4473)		(1.2684)		(1.3949)
time_2010		2.0140		1.6797		6.1251***
		(1.3857)		(1.5270)		(1.4149)
time_2011		0.1788		0.9480		4.2074***
		(1.4668)		(1.5455)		(1.4012)
time_2012		-0.6514		1.0335		3.7977***
		(1.3760)		(1.4856)		(1.4026)
time_2013		-1.2517		0.4185		3.2379**
		(1.4155)		(1.2594)		(1.3792)
time_2014		-1.4786		0.3092		3.2032**
		(1.4232)		(1.2006)		(1.3837)
time_2015		-1.5934		0.3525		3.1214**
		(1.4132)		(1.2088)		(1.3895)
time_2016		-2.1535		0.2943		2.9485**
		(1.4227)		(1.1744)		(1.4000)
time_2017		-0.9409		1.4695		4.2132***
		(1.4108)		(1.1920)		(1.3932)
time_2018		-1.0992		1.2690		3.7132***
		(1.4148)		(1.1769)		(1.3854)
o.time_2019		-		-		
						
bankingcrisislv	0.1283	3.1227	-1.6947	-2.2526	-1.4657	-0.3568
	(1.1653)	(2.2865)	(1.7269)	(2.5785)	(1.0541)	(1.7015)
currencycrisislv	-6.3411***	-3.6024	-4.4389*	0.8163	-8.8662***	-5.2656***
	(1.7541)	(2.1904)	(2.5724)	(2.9413)	(1.3864)	(1.7340)
debtcrisislv	-2.3408	-1.4700			-2.2463	-2.3876
	(1.9101)	(2.1475)			(2.3030)	(2.1931)
debtrestruclv	0.3207	0.5008			0.8587	1.0748
	(1.4124)	(1.4915)			(1.6575)	(1.5259)
o.debtcrisislv			-	-		
						
o.debtrestruclv			-	-		
						
0b._cat#c.m2gdp					0.0251*	0.0263*
					(0.0137)	(0.0140)
1._cat#c.m2gdp					-0.0073	-0.0004
					(0.0099)	(0.0114)
o.time_1998						-
						
time_2019						3.5301**
						(1.3822)
Constant	3.1582**	5.3313**	10.0874**	7.4146	2.6403**	-0.9031
	(1.3752)	(2.1129)	(4.1865)	(4.9901)	(1.3201)	(1.5684)
						
Observations	108	108	81	81	189	189
R-squared	0.5752	0.7182	0.6077	0.8609	0.5265	0.6885
Number of cn	5	5	4	4	7	7
Standard errors in parentheses						
*** p<0.01, ** p<0.05, * p<0.1						
